epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5168,0.99805,1.59981,1.25908,0.71645,0.80543,0.77319,0.60542,0.88881,1.92844,1.31543,0.0005,0.0005,0.0005
2,63.5646,0.82531,0.79392,1.12464,0.88173,0.80317,0.89398,0.65673,1.20208,1.28783,1.72733,0.0010099,0.0010099,0.0010099
3,92.2536,0.83484,0.68189,1.13019,0.62882,0.79864,0.71052,0.49599,1.62656,1.54462,2.02077,0.00150951,0.00150951,0.00150951
4,119.27,0.84387,0.61458,1.13333,0.27563,0.33919,0.21018,0.09711,2.00181,2.50372,2.69966,0.0019406,0.0019406,0.0019406
5,145.029,0.84882,0.563,1.14093,0.80931,0.71041,0.81151,0.58605,1.45917,1.4202,1.86516,0.0019208,0.0019208,0.0019208
6,171.027,0.83031,0.51997,1.12604,0.92908,0.88912,0.92182,0.70049,0.91951,1.16338,1.32124,0.001901,0.001901,0.001901
7,197.074,0.79409,0.48552,1.10571,0.92804,0.87531,0.92347,0.59519,1.20156,1.07483,1.56368,0.0018812,0.0018812,0.0018812
8,219.816,0.80074,0.47759,1.10507,0.92611,0.87902,0.91881,0.61446,1.23631,1.63644,1.49145,0.0018614,0.0018614,0.0018614
9,242.435,0.77964,0.44865,1.10119,0.9231,0.92334,0.94794,0.67725,1.14168,0.77325,1.5885,0.0018416,0.0018416,0.0018416
10,264.992,0.77581,0.44858,1.10278,0.90108,0.9068,0.94318,0.7602,0.85966,0.61493,1.2131,0.0018218,0.0018218,0.0018218
11,287.582,0.75847,0.42533,1.09262,0.97787,0.89978,0.95147,0.78214,0.80728,0.69186,1.18538,0.001802,0.001802,0.001802
12,310.357,0.76593,0.43223,1.09704,0.9578,0.93439,0.9625,0.79033,0.75737,0.54589,1.15105,0.0017822,0.0017822,0.0017822
13,334.664,0.75371,0.41953,1.08867,0.93975,0.91746,0.96204,0.78462,0.8164,0.66337,1.21085,0.0017624,0.0017624,0.0017624
14,357.317,0.74589,0.41498,1.08306,0.98107,0.9457,0.97534,0.77497,0.91873,0.56573,1.25647,0.0017426,0.0017426,0.0017426
15,379.971,0.74097,0.41445,1.08806,0.95394,0.9457,0.9686,0.8155,0.71165,0.47244,1.11781,0.0017228,0.0017228,0.0017228
16,402.515,0.72851,0.39341,1.07916,0.97832,0.91902,0.97129,0.80321,0.76441,0.4491,1.16202,0.001703,0.001703,0.001703
17,425.201,0.73808,0.40175,1.07454,0.97436,0.93439,0.97048,0.79097,0.78121,0.47816,1.15607,0.0016832,0.0016832,0.0016832
18,447.9,0.73064,0.40076,1.07435,0.97382,0.93891,0.97477,0.79995,0.76108,0.52792,1.11786,0.0016634,0.0016634,0.0016634
19,470.514,0.71436,0.39043,1.06421,0.98427,0.93439,0.96576,0.79128,0.74151,0.68401,1.1265,0.0016436,0.0016436,0.0016436
20,494.759,0.71005,0.37942,1.06611,0.95611,0.93648,0.96699,0.78224,0.77154,0.5274,1.15362,0.0016238,0.0016238,0.0016238
21,517.438,0.70451,0.37931,1.06331,0.96504,0.9276,0.96809,0.78511,0.8386,0.61445,1.22093,0.001604,0.001604,0.001604
22,540.15,0.70453,0.37433,1.0658,0.98384,0.93891,0.97678,0.80474,0.74688,0.42949,1.12927,0.0015842,0.0015842,0.0015842
