epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9062,0.94344,1.56061,1.23058,0.84168,0.64353,0.71305,0.48783,1.10476,2.54663,1.36213,0.000654088,0.000654088,0.000654088
2,145.485,0.93826,0.93259,1.20964,0.74928,0.43402,0.53197,0.37763,1.40345,2.90542,1.77876,0.00130768,0.00130768,0.00130768
3,174.826,0.97881,0.82242,1.23776,0.57124,0.66194,0.63031,0.41841,1.28251,2.69895,1.49145,0.00194807,0.00194807,0.00194807
4,237.009,0.97991,0.74707,1.23312,0.68389,0.61577,0.67405,0.47173,1.20925,2.23721,1.45911,0.0019406,0.0019406,0.0019406
5,264.302,0.94474,0.67728,1.21452,0.8661,0.78953,0.87081,0.65284,1.03808,1.09441,1.27882,0.0019208,0.0019208,0.0019208
6,334.122,0.92819,0.65608,1.20479,0.75542,0.80589,0.81973,0.62324,1.01192,1.52709,1.29731,0.001901,0.001901,0.001901
7,361.28,0.90404,0.63,1.19263,0.83228,0.70011,0.82825,0.62181,1.04831,1.07423,1.31547,0.0018812,0.0018812,0.0018812
8,415.944,0.87556,0.58733,1.17014,0.87629,0.8574,0.90944,0.67772,1.01453,0.8753,1.2235,0.0018614,0.0018614,0.0018614
9,442.329,0.87376,0.58911,1.17077,0.94295,0.86514,0.92266,0.69328,0.98551,0.69477,1.18876,0.0018416,0.0018416,0.0018416
10,498.255,0.85769,0.56534,1.16674,0.94133,0.8924,0.92863,0.71446,0.95472,0.66079,1.18455,0.0018218,0.0018218,0.0018218
11,524.403,0.8576,0.56245,1.16211,0.95853,0.89967,0.9288,0.71973,0.90987,0.67824,1.24229,0.001802,0.001802,0.001802
12,577.945,0.84468,0.54431,1.15311,0.94754,0.8863,0.92769,0.72927,0.88277,0.59359,1.15978,0.0017822,0.0017822,0.0017822
13,604.219,0.82832,0.52726,1.14192,0.78876,0.86327,0.89163,0.69289,0.94019,0.77231,1.21621,0.0017624,0.0017624,0.0017624
14,659.247,0.82406,0.51624,1.1395,0.9321,0.82116,0.91892,0.72339,0.84436,0.71853,1.13867,0.0017426,0.0017426,0.0017426
15,687.205,0.81705,0.5138,1.14013,0.96011,0.89244,0.94363,0.73251,0.844,0.57623,1.12435,0.0017228,0.0017228,0.0017228
16,740.252,0.80708,0.51332,1.12905,0.91316,0.83714,0.91746,0.70322,0.93016,0.61736,1.17611,0.001703,0.001703,0.001703
17,777.674,0.80282,0.49303,1.12845,0.93203,0.89718,0.93878,0.73528,0.89223,0.54703,1.14477,0.0016832,0.0016832,0.0016832
18,830.268,0.79176,0.50486,1.12035,0.92846,0.90513,0.93745,0.74858,0.83168,0.62319,1.10757,0.0016634,0.0016634,0.0016634
19,875.372,0.78724,0.48508,1.11635,0.95281,0.90285,0.93825,0.73452,0.88698,0.57158,1.13967,0.0016436,0.0016436,0.0016436
20,927.98,0.78072,0.48396,1.11535,0.94883,0.84929,0.91401,0.72624,0.84839,0.60353,1.13659,0.0016238,0.0016238,0.0016238
21,965.592,0.77229,0.4798,1.11018,0.97427,0.89531,0.9429,0.74404,0.82049,0.54161,1.12151,0.001604,0.001604,0.001604
22,1026.25,0.77158,0.47409,1.10974,0.97606,0.88222,0.93679,0.74258,0.84585,0.53125,1.12388,0.0015842,0.0015842,0.0015842
23,1063.81,0.76387,0.47354,1.10749,0.95931,0.8998,0.946,0.74763,0.84239,0.53208,1.11085,0.0015644,0.0015644,0.0015644
